run_name,cfg,Total money_made,Total distance driven,Average profit,Customers served,Customers cancelled,Waiting time,Average free time,Highest earning taxi id,Highest earning taxi per hour,Lowest earning taxi id,Lowest earning taxi per hour
,"cr=closest, ms=batching, bl=0.05",13866.711744971964,5782.855872485982,153.1342237406599,751,0,608.8845164734578,2.2817813457232385,79,131.15090919779325,81,0.0
,"cr=closest, ms=batching, bl=0.1",12955.702237208568,5390.351118604283,146.63743226528032,715,0,943.3513547291077,2.43621043358163,81,52.21215288237136,76,0.0
,"cr=closest, ms=batching, bl=0.2",13893.284417565412,5800.642208782705,136.91565565385886,742,0,1148.7444799191521,2.369352797454533,90,58.73249875417499,88,0.0
,"cr=shortest, ms=None, bl=None",11015.942312357556,8883.45524444229,119.99027614894933,636,0,1081.776255104601,0.10305755625820583,76,56.306220920807995,77,0.0
,"cr=longest, ms=None, bl=None",14220.782120240468,9630.386984037332,120.53632081797059,777,0,1254.4188925441597,0.5783653931761895,101,60.67203053527039,102,0.0
,"cr=closest, ms=None, bl=None",13466.581556270396,7052.0552457927415,138.5766724955385,726,0,864.9435595195898,0.9149111425466409,4,41.426429221175304,46,12.797316324437386
,"cr=closest, ms=allow_rellocation, bl=None",29799.29214065193,123257.84843785698,54.18655213768988,792,0,0,2.602502746219991,50,131.9193553408574,93,0.0
,"cr=closest, ms=batching, bl=0.01",12997.296460717193,5391.648230358597,126.79751930473914,726,0,354.80134402538187,3.174563172524462,92,57.37272665931749,94,0.0
,"cr=closest, ms=batching, bl=0.05",14164.426846562725,5913.713423281366,156.40583327598145,773,0,839.6730253041725,2.123369322433863,81,76.39788849000618,82,0.0
,"cr=closest, ms=batching, bl=0.1",12776.685750929735,5327.842875464868,158.25834021401022,694,0,740.4633760880142,2.3445697116194237,73,268.3717684475972,74,0.0
,"cr=closest, ms=batching, bl=0.2",13767.903579325153,5724.451789662576,135.73132496121104,763,0,820.6493132592542,2.666056838629506,80,36.06669574147275,91,0.0
,"cr=shortest, ms=None, bl=None",12080.874410294331,9646.30367990362,115.35924629901818,677,0,1727.4776923199884,0.11576386446876344,87,47.334355519021535,86,0.0
,"cr=longest, ms=None, bl=None",12136.557749276102,9380.575093892237,122.14812774401976,546,0,1473.9942134257506,0.11604801492362467,79,38.02667052200496,80,17.69776420130646
,"cr=closest, ms=None, bl=None",15474.105560175869,8004.958973154909,129.65526883686812,827,0,726.2718286392968,0.9124556256703001,103,69.13280340816718,102,0.0
,"cr=closest, ms=allow_rellocation, bl=None",27523.346386038036,105210.66807989498,85.27911539551359,736,0,0,2.4690223192858074,14,164.83411201704612,74,0.0
,"cr=closest, ms=batching, bl=0.01",14523.03990534209,6057.019952671046,143.13587005169765,789,0,575.4316914293535,2.645934448207776,90,56.193724037687616,92,0.0
,"cr=closest, ms=batching, bl=0.05",14015.160654363614,5876.580327181806,152.85529272532443,735,0,491.50709717130684,2.305869613402918,83,57.973997390041255,84,0.0
,"cr=closest, ms=batching, bl=0.1",14005.361404802647,5861.180702401322,139.4904920035041,749,0,663.0452332134643,2.7538926754441433,91,55.7740810780568,77,12.436042961611006
,"cr=closest, ms=batching, bl=0.2",14277.049732893713,5982.024866446857,122.24901644490038,759,0,613.6382188533148,3.040394843704127,106,53.111682409275176,107,0.0
,"cr=shortest, ms=None, bl=None",13833.84090438454,9539.371502270027,114.67275580702439,739,0,552.7334906318881,0.6223942133306922,103,72.18748590287117,104,0.0
,"cr=longest, ms=None, bl=None",12972.358932801206,10154.613993080684,116.39825674664966,624,0,1643.014089877741,0.09359375670100359,93,48.60462826931488,94,0.0
,"cr=closest, ms=None, bl=None",14573.792165135616,8338.648513504995,146.65980070948433,781,0,642.4128922301153,0.6416246848142201,85,61.18403005414435,75,4.7800698739372836
,"cr=closest, ms=allow_rellocation, bl=None",28659.751074594882,111058.53354765176,69.33381037703788,770,0,0,2.5911533261910193,21,161.7119521681565,80,17.933426313266487
,"cr=closest, ms=batching, bl=0.01",14915.347765843997,6247.173882921998,117.80959473499651,788,0,330.34858588509,3.1139972589611644,113,85.0872353488206,114,0.0
,"cr=closest, ms=batching, bl=0.05",14001.995444961032,5836.997722480517,144.20894270185315,765,0,596.383227046993,2.786868822298927,3,37.71291011190358,89,0.0
,"cr=closest, ms=batching, bl=0.1",13134.576593188898,5496.288296594451,121.56887811989917,704,0,445.5175225295659,2.6669245069325593,10,34.781106359452544,89,0.0
,"cr=closest, ms=batching, bl=0.2",14526.486395878126,6052.743197939064,151.31747450329905,793,0,1059.5905473090622,2.52369630656688,84,46.409858669946566,88,0.0
,"cr=shortest, ms=None, bl=None",12978.313735195929,10426.836376401454,123.78348249904143,719,0,977.8384577947984,0.10745409523798478,88,31.701403667358594,82,17.085104093947397
,"cr=longest, ms=None, bl=None",11359.541789448438,8840.449246025495,122.96733256722233,503,0,1049.6316744541816,0.0997208551872925,1,30.44126501634136,77,0.0
,"cr=closest, ms=None, bl=None",14268.512609951462,7609.3410144852505,134.17520428478338,767,0,531.5355227194464,1.0756695136583414,91,41.31104187924951,90,0.0
,"cr=closest, ms=allow_rellocation, bl=None",26920.17677503727,106123.46607774365,58.117179178454556,769,0,0,2.945122432856325,19,138.7041621572192,98,0.0
,"cr=closest, ms=batching, bl=0.01",13884.561021768332,5787.280510884164,132.57400957907808,761,0,685.2615843174999,2.747067876752944,94,78.02071214040247,90,0.0
,"cr=closest, ms=batching, bl=0.05",14962.466672925677,6264.73333646284,138.48000005690005,802,0,634.4878802189869,2.6333630363859934,7,37.31645594225025,97,0.0
,"cr=closest, ms=batching, bl=0.1",13573.513633368992,5673.756816684498,133.75013193582902,730,0,800.9630144253815,2.768567853341101,91,85.77990115575372,90,0.0
,"cr=closest, ms=batching, bl=0.2",14575.582711592886,6129.791355796443,130.87867098464307,761,0,984.4601873915379,2.630736102317219,7,37.42554398427185,98,0.0
,"cr=shortest, ms=None, bl=None",9361.827027773877,7669.766967751217,108.7204671419948,596,0,994.1569950384757,0.0847406077800013,72,65.36260024591292,66,14.866178348676014
,"cr=longest, ms=None, bl=None",13440.23395682397,10699.173286976955,125.559992215873,672,0,2176.638886666654,0.08982635986487969,88,45.824703875231,90,10.223741562130975
,"cr=closest, ms=None, bl=None",13480.37484023657,6579.469245801468,125.40702052655958,749,0,446.57865475771166,1.6052854445728688,95,42.063409569340536,94,0.0
,"cr=closest, ms=allow_rellocation, bl=None",35974.988948844555,147245.12718197206,66.59146441275654,761,0,0,2.9400226439035313,12,188.4152188995498,90,0.0
,"cr=closest, ms=batching, bl=0.01",13449.611229500713,5614.805614750357,154.08312633188305,725,0,671.6930553667185,2.155900595772319,79,62.34918407094933,80,0.0
,"cr=closest, ms=batching, bl=0.05",14368.329385557023,5999.164692778511,153.12205170931765,773,0,501.5067038368423,2.3421263807046837,85,141.65900140968478,86,0.0
,"cr=closest, ms=batching, bl=0.1",14076.26131275305,5877.130656376523,116.22374037367335,766,0,419.18631829621285,3.2127778065075447,1,35.132974860685124,110,0.0
,"cr=closest, ms=batching, bl=0.2",12837.764976891418,5352.382488445709,127.90530955654646,702,0,497.35298976569084,2.95756354779019,19,33.74210267136008,73,4.864897647430135
,"cr=shortest, ms=None, bl=None",13516.682007623322,8554.901469229442,113.51636263247534,722,0,581.9188203480572,0.9071283300486059,102,66.0231426448362,101,0.0
,"cr=longest, ms=None, bl=None",14119.354613494737,11036.800292138052,122.80406757801164,724,0,2026.4048237344018,0.0903019872038695,95,39.8243923372279,97,14.55245117350184
